hour,facility,risk,level,units
9,F01,0.0745,주의,1.04
9,F02,0.0775,주의,1.07
9,F03,0.0746,주의,1.04
9,F04,0.0758,주의,1.05
9,F05,0.0488,관찰,0.78
9,F06,0.0742,주의,1.03
10,F01,0.0832,주의,1.01
10,F02,0.0874,주의,1.05
10,F03,0.0861,주의,1.04
10,F04,0.0746,주의,0.94
10,F05,0.0834,주의,1.02
10,F06,0.0745,주의,0.94
11,F01,0.0835,주의,0.98
11,F02,0.0858,주의,1.0
11,F03,0.0861,주의,1.0
11,F04,0.0925,주의,1.06
11,F05,0.092,주의,1.05
11,F06,0.0745,주의,0.91
12,F01,0.0844,주의,0.96
12,F02,0.095,주의,1.04
12,F03,0.0891,주의,0.99
12,F04,0.0854,주의,0.96
12,F05,0.084,주의,0.95
12,F06,0.1021,주의,1.09
13,F01,0.0437,관찰,0.72
13,F02,0.0834,주의,1.11
13,F03,0.0414,관찰,0.7
13,F04,0.0889,주의,1.16
13,F05,0.0836,주의,1.11
13,F06,0.0934,주의,1.2
14,F01,0.1332,주의,1.23
14,F02,0.0861,주의,0.9
14,F03,0.0914,주의,0.94
14,F04,0.0876,주의,0.91
14,F05,0.0891,주의,0.93
14,F06,0.1111,주의,1.08
15,F01,0.1015,주의,1.16
15,F02,0.0865,주의,1.04
15,F03,0.0844,주의,1.02
15,F04,0.0909,주의,1.07
15,F05,0.041,관찰,0.65
15,F06,0.0895,주의,1.06
16,F01,0.1138,주의,1.07
16,F02,0.109,주의,1.04
16,F03,0.1007,주의,0.98
16,F04,0.0913,주의,0.92
16,F05,0.1146,주의,1.08
16,F06,0.0912,주의,0.92
17,F01,0.0932,주의,1.01
17,F02,0.1063,주의,1.11
17,F03,0.085,주의,0.95
17,F04,0.092,주의,1.0
17,F05,0.0891,주의,0.98
17,F06,0.0862,주의,0.96
18,F01,0.0932,주의,1.04
18,F02,0.0855,주의,0.98
18,F03,0.083,주의,0.96
18,F04,0.0784,주의,0.92
18,F05,0.0982,주의,1.08
18,F06,0.0909,주의,1.02
